Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",TIME ZONE,"JL SUTOMO SBC RT. 12/RW. 01, PAHLAWAN, KEC. SIANTAR TIMUR, KOTA PEMATANG SIANTAR 21132",
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",TIME ZONE,"PLAZA MEDAN FAIR LT 4, JL GATOT SUBROTO NO 30 , S E K I P, KEC. MEDAN PETISAH, KOTA MEDAN 20113",061-4140240
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",TIME ZONE,"JL KAPTEN MUSLIM LANTAI 5 NO111, DWI KORA, KEC. MEDAN HELVETIA, KOTA MEDAN 20123",061-8460360
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",TIME ZONE,"JL ISKANDAR MUDA, BABURA, KEC. MEDAN BARU, KOTA MEDAN 20154",
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI","X - FAMILY FIT BUGAR NUSANTARA, PT","BINJAI SUPERMALL LT GS, TIMBANG LANGKAT, KEC. BINJAI TIMUR, KOTA BINJAI 20732",061-8826393
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",ZONE 2000,"JL SUTOMO RT. 12/RW. 01, PAHLAWAN, KEC. SIANTAR TIMUR, KOTA PEMATANG SIANTAR 21132",0622-7553521
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",ZONE ENTERTAIMANT,"JL KOLONEL SUGIONO, A U R, KEC. MEDAN MAIMUN, KOTA MEDAN 20151",
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI","FITNES GOLD BHI, PT","JL PADANG PASIR RAYA NO 6, PADANG PASIR, KEC. PADANG BARAT, KOTA PADANG 25112",0751-25388
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI",FUN STATION,"JL PROF HAMKA NO 2A BASKO GRAND MALL RT. 01/RW. 03, AIR TAWAR TIMUR, KEC. PADANG UTARA, KOTA PADANG 25132",0751-7052216
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI",G SPORT,"JL GAJAH MADA NO 105 B RT. 03/RW. 08, GUNUNG PANGILUN, KEC. PADANG UTARA, KOTA PADANG 25137",0751-40889
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI",GP FUTSAL <ADIT>,"JL KIMIA NO 27 KOMPLEK PGRI RT. 01/RW. 01, KAMPUNG OLO, KEC. NANGGALO, KOTA PADANG 25143",085100064424
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI",INUL VIZTA,"PLAZA ANDALAS LT 4 NO 46 RT. 03/RW. 04, OLO, KEC. PADANG BARAT, KOTA PADANG 25117",0751-7530191
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI","KABAU SIRAH, PT","KOMPLEK PT SEMEN PADANG L75 RT. 03/RW. 04, INDARUNG, KEC. LUBUK KILANGAN, KOTA PADANG 25237",0751-202593; 0751-0751202566
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI",KANTOR IMI SUMBAR,"JL SAMUDRA NO 24 RT. 01/RW. 04, BELAKANG TANGSI, KEC. PADANG BARAT, KOTA PADANG 25118",0751-34879
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI","KANTOR WWS, PT","AIR DINGIN MUAROKALABAN, MUARO KALABAN, KEC. SILUNGKANG, KOTA SAWAH LUNTO 27435",0755-480007
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI",KEBUN BINATANG KINANTAN,"JL CINDUA MATO RT. 02/RW. 03, BENTENG PASAR ATAS, KEC. GUGUK PANJANG, KOTA BUKITTINGGI 26113",082388284828
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI","MHI, PT","JL BATANG ARAU NO 84 RT. 3/RW. 4, BEROK NIPAH, KEC. PADANG BARAT, KOTA PADANG 25118",0751-22247
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI",MULTAZAM GAMBUS,"TANGAH PADANG JAWI JAWI, JAWI-JAWI GUGUAK, KEC. GUNUNG TALANG, KAB. SOLOK 27365",08126768576
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI","NIAGARA FANTASI ISLAND, PT <MIFAN WATERPARK>","PERKAMPUNGAN MINANG KABAU VILLAGE RT. 16, SILAING BAWAH, KEC. PADANG PANJANG BARAT, KOTA PADANG PANJANG 27118",0752-48272
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI",PRAWISATA CAROLINA INDAH,"PASAR LABAN RT. 04/RW. 02, BUNGUS SELATAN, KEC. BUNGUS TELUK KABUNG, KOTA PADANG 25242",
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI",TAMAR SPORT CENTER <TSC>,"KOMPLEK TMC RT. 02, KARAN AUR, KEC. PARIAMAN TENGAH, KOTA PARIAMAN 25514",082169019182
