Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",AGEN GETAH<MUKHTAR>,"ALUE IE MIRAH DUSUN MASJID, ALUE IE MIRAH, KEC. INDRA MAKMUR, KAB. ACEH TIMUR 24457",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",AGEN KELAPA SAWIT <ISKANDAR>,"DSN PELITA , PUNTI PAYONG, KEC. RANTO PEUREULAK, KAB. ACEH TIMUR 24453",76581587
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",AGEN KELAPA SAWIT<HAFID>,"ULEE JALAN, ULEE JALAN, KEC. BANDA ALAM, KAB. ACEH TIMUR 24454",70444473
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",AGEN SAWIT <AMIRUDDIN>,"JL. KD GEUROBAK ALUE IE MIRAH, PANTON RAYEUK M, KEC. BANDA ALAM, KAB. ACEH TIMUR 24454",73135648
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",AGEN SAWIT <NURDIN MAHMUD>,"PAYA KEUTAPANG, PAYA KEUTAPANG, KEC. SUNGAI RAYA, KAB. ACEH TIMUR 24458",62423463
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",AYI REMPAH REMPAH,"SIMPANG WAHYU, KAMPUNG KEUDE, KEC. PEUDAWA, KAB. ACEH TIMUR 24454",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","BARONA, UD <JAMAL>","DUSUN RUKUN , ALUE SENTANG, KEC. BIREM BAYEUN, KAB. ACEH TIMUR 24451",73581002
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","BERDIKARI, UD","JL. KEUDE GEUROBAK ALUE IE MIRAH, PANTON RAYEUK M, KEC. BANDA ALAM, KAB. ACEH TIMUR 24454",75339228
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",DAGANG KELAPA <RIDWAN>,"PAYA GABOH, PAYA GABOH, KEC. IDI TUNONG, KAB. ACEH TIMUR 24454",72137017
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",GROSIR REMPAH REMPAH <BANG YAN>,"SIMPANG AMD GAMPONG KEUDE, KAMPUNG KEUDE, KEC. PEUDAWA, KAB. ACEH TIMUR 24454",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",H M NEK<ABDULLAH>,"JL. MEDAN BANDA ACEH, GAMPONG ACEH, KEC. IDI RAYEUK, KAB. ACEH TIMUR 24454",61729511
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",HARKAT BUMI <BANG HAM>,"SIMPANG WAHYU, KAMPUNG KEUDE, KEC. PEUDAWA, KAB. ACEH TIMUR 24454",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",HASRINA JAYA,"SIMPANG WAHYU GAMPONG KEUDE, KAMPUNG KEUDE, KEC. PEUDAWA, KAB. ACEH TIMUR 24454",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",JUAL GROSIR <SYAHBUDIN>,"DUSUN KUTA DAYAH, BEUSA SEBERANG, KEC. PEUREULAK BARAT, KAB. ACEH TIMUR 24453",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG BAWANG <KAMARULWATAN>,"DUSUN NYAK AJI , TANJONG KAPAI, KEC. IDI RAYEUK, KAB. ACEH TIMUR 24454",75511916
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG HASIL PERKEBUNAN <IRWAN>,"JL. MEDAN BANDA ACEH DUSUN MESJID, PAYA DEUMAM DUA, KEC. PANTE BIDARI, KAB. ACEH TIMUR 24458",61554497
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG HASIL PERKEBUNAN <MURHABAN>,"DUSUN BANDAR BARU, PUTOH SATU, KEC. PANTE BIDARI, KAB. ACEH TIMUR 24458",60734807
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG HASIL PERKEBUNAN <ZULFIKAR>,"DUSUN BANDAR BARU, PUTOH SATU, KEC. PANTE BIDARI, KAB. ACEH TIMUR 74458",62968450
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG HASIL PERTANIAN <SOFYAN>,"DUSUN MATANG TEUNGOH, MATANG PUDENG, KEC. PANTE BIDARI, KAB. ACEH TIMUR 24458 6012284",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG IKAN <MARZUKI>,"TANO ANOU DUSUN HTM YUSUF, TANOH ANOU, KEC. IDI RAYEUK, KAB. ACEH TIMUR 24454",73177350
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG IKAN BANDENG <TOKE ZUN>,"DUSUN ALUE CEUKO, SEUNEUBOK RAWANG, KEC. PEUREULAK TIMUR, KAB. ACEH TIMUR 24453",62729401
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG KAKAO <M GADE>,"DUSUN PULO IBOH , LHOK DALAM, KEC. PEUREULAK, KAB. ACEH TIMUR 24453",70600228
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG KARET <MAIMUN>,"JL. KEUDE GEURUBAK IDI CUT, PANTON RAYEUK M, KEC. BANDA ALAM, KAB. ACEH TIMUR 24454",73806237
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG KELAPA SAWIT <JALALUDDIN>,"DUSUN MATA IE ASAN RAMPHAK, ASAN RAMPAK, KEC. PEUDAWA, KAB. ACEH TIMUR 24456",62082558
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG KELAPA SAWIT <MUSLIM>,"DUSUN MESJID , LABUHAN KEUDE, KEC. SUNGAI RAYA, KAB. ACEH TIMUR 24458",63203000
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG KELAPA SAWIT HASANUDDIN,"JL. RANTO PEUREULAK TEUMPEUN, TEUMPEUN, KEC. PEUREULAK BARAT, KAB. ACEH TIMUR 24453",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG KEPITING <YUSRA>,"DUSUN PUSAKA, GEULUMPANG PAYONG, KEC. SUNGAI RAYA, KAB. ACEH TIMUR 24458",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG PINANG <MIDI>,"DUSUN SELATAN, SEUNEUBOK TIMUR, KEC. IDI TIMUR, KAB. ACEH TIMUR 24454",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG PINANG <ZULKIFLI>,"DUSUN PUUK, KAMPUNG KEUDE, KEC. DARUL AMAN, KAB. ACEH TIMUR 24455",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG SAWIT,"DUSUN GELUMPANG, ULEE GLE, KEC. IDI TIMUR, KAB. ACEH TIMUR",58097905
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG SAWIT <GAPI>,"DUSUN PENDIDIKAN, GAMPONG BAYEUN, KEC. RANTAU SELAMAT, KAB. ACEH TIMUR 24452",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG SAWIT <LUTFHI>,"DUSUN MATA IE ASAN RAMPHAK, ASAN RAMPAK, KEC. PEUDAWA, KAB. ACEH TIMUR 24456",48508060
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG SAWIT <M YUSUF>,"DUSUN WONOHARJO, ALUE TEH, KEC. BIREM BAYEUN, KAB. ACEH TIMUR 24451",77514818
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG SAWIT <RAHMAT>,"JL. ULEE ATEUNG, PULO-U, KEC. NURUSSALAM, KAB. ACEH TIMUR",
