Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"JCO DONUT & COFFEE, PT","LAMTEMEN TIMUR, KEC. JAYA BARU",0651-8052255
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"KFC (FAST FOOD INDONESIA, PT)","JL T UMAR DSN SEROJA, LAMTEMEN TIMUR, KEC. JAYA BARU 23230",0651-8011026
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,KFC LAMNYONG,"JL T NYAK ARIEF NO 17 DEN LAMNYONG, LAMGUGOB, KEC. SYIAH KUALA 23115",0651-7551949
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,KFC RESTORAN,"JL TGK M DAUD BEUREUEH, KUTA ALAM, KEC. KUTA ALAM 23121",0651-26696
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,MIE SALEH,"JL TAMAN MAKAM PAHLAWAN, PEUNITI, KEC. BAITURRAHMAN",085260804988
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,MISTER BASO,"HERMES MALL PALACE LT DASAR, BEURAWE, KEC. KUTA ALAM 23124",081807484990
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"MITRA BENTO SUKSES, PT","JL T UMAR DSN SEROJA, LAMTEMEN TIMUR, KEC. JAYA BARU 23230",0651-6302085
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,PIZZA HUT,"JL DAUD BEREUEH, LAKSANA, KEC. KUTA ALAM 23122",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"PIZZA HUT (SARI MELATI KENCANA, PT)","LAMTEMEN TIMUR, KEC. JAYA BARU",081376022741
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,RING ROAD CAFFE,"JL MR MOHD HASAN, BATOH, KEC. LUENG BATA 23245",085206765503
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,SEA FOOD KARIBIA,"JL TGK BATEE TIMOH NO 48 JEULINGKE, KUTA ALAM, KEC. KUTA ALAM 23121",081362770395
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,SOLONG MINI COFFE,"JL P NYAK MAKAM, LAMBHUK, KEC. ULEE KARENG 23118",085207202307
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,WARUNG NASI KAMBING LEM BAKRIE,"JL PROF ALI HASYIMI DSN MAWAR, LAMTEH, KEC. ULEE KARENG 23118",085277320036
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,WONG SOLO,"JL DAUD BEUREUEH, BANDAR BARU, KEC. KUTA ALAM 23126",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,WONG SOLO,"JL MOH JAM, KP BARU, KEC. BAITURRAHMAN 23242",082273709756
